date,ticker,entry,exit,size,pnl,fees
2025-11-20,LMND,67.2,66.66,21.0,-11.340000000000131,0.0
2025-11-20,LMND,67.7,66.99,21.0,-14.910000000000167,0.0
2025-11-20,NVD,8.73,8.68,180.0,-9.000000000000128,0.0
2025-11-20,ONDS,6.32,7.81,160.0,238.3999999999999,0.0
2025-11-20,PLTZ,6.9,8.41,150.0,226.49999999999997,0.0
2025-11-20,RGTZ,26.2,31.84,40.0,225.6,0.0
2025-11-20,SOXS,3.83,3.78,274.0,-13.700000000000074,0.0
2025-11-20,SOXS,3.84,3.79,280.0,-13.99999999999995,0.0
2025-11-20,TSDD,10.1599,10.025,100.0,-13.490000000000002,0.0
2025-11-20,TSDD,11.2498,11.232657,100.0,-1.7143000000000796,0.0
2025-11-24,RGTX,67.93,69.11,115.0,135.69999999999914,0.0
2025-11-24,MVST,3.43,3.38,600.0,-30.00000000000016,0.0
2025-11-25,CIFR,16.74,18.66,135.0,259.2000000000002,0.0
2025-11-25,COHR,147.52,148.13,13.0,7.929999999999808,0.0
2025-11-25,OPEN,7.85,7.75,280.0,-27.9999999999999,0.0
2025-11-26,OPEN,7.69,7.61,150.0,-12.00000000000001,0.0
2025-11-26,PLTZ,7.5,7.48,150.0,-2.999999999999936,0.0
2025-11-26,CRCD,55.62,54.8,30.0,-24.60000000000001,0.0
2025-11-26,RGTX,76.15,74.85,15.0,-19.50000000000017,0.0
2025-11-26,RGTX,78.0,76.5,8.0,-12.0,0.0
2025-11-26,TSDD,10.1,10.01,110.0,-9.899999999999984,0.0
2025-11-28, TEM,77.5,77.02,15.0,-7.20000000000006,0.0
2025-11-28, DVLT,2.1197,2.0536,500.0,-33.05,0.0
2025-11-28,ONDS,7.98,7.92,254.0,15.98,0.0
